Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
PARTENDER,Not Acquired,$50K Seed,SEP '13,500 Startups,Christine Tsai,N/A,Round,MAR '16,500 Startups,Arielle Zuckerberg,N/A,N/A,N/A,N/A,N/A,N/A
SHOPPIMON,Not Acquired,$2.3M Seed,MAR '16,AOL,2B Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHARTIQ,Not Acquired,$850K Round,MAY '15,Social Leverage,ValueStream Ventures,N/A,$4M Series A,MAR '16,Tribeca Angels,ValueStream Ventures,N/A,N/A,N/A,N/A,N/A,N/A
FRAMED DATA,Not Acquired,$2M Round,DEC '14,GV,Innovation Works,N/A,READ PRESS,MAR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SYNATA,Not Acquired,$178K Seed,MAR '14,Queensbridge Venture Partners,N/A,N/A,$620K Seed,SEP '14,Carthona Capital,Cthulhu Ventures,N/A,READ PRESS,MAR '16,N/A,N/A,N/A
FREDERICK,Not Acquired,$120K Seed,AUG '14,N/A,N/A,N/A,READ PRESS,MAR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EXO,Not Acquired,$1.2M Seed,SEP '14,Collaborative Fund,Wakestream Ventures,N/A,$4M Series A,MAR '16,Collaborative Fund,AccelFoods,N/A,$4M Series A,MAR '16,Wakestream Ventures,Tim Ferriss,N/A
YOURMECHANIC,Not Acquired,$2.2M Seed,DEC '13,Greylock Partners,DFJ,N/A,Series A,JAN '15,N/A,N/A,N/A,$24M Series B,MAR '16,Andreessen Horowitz,SoftBank Capital,N/A
VIDEOGRAM,Not Acquired,$3.9M Series A,FEB '15,500 Startups,Media Camp,N/A,$600K Round,MAR '16,500 Startups,Samsung Ventures,N/A,N/A,N/A,N/A,N/A,N/A
OVERNIGHT,Not Acquired,$2.5M Seed,FEB '16,Accomplice,Crosscut Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVELO ELECTRIC BICYCLES,Not Acquired,$750K Seed,FEB '16,SeedInvest,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDYN,Not Acquired,$850K Seed,JAN '14,N/A,N/A,N/A,Seed,NOV '15,Fenox Venture Capital,Queensbridge Venture Partners,N/A,$2M Seed,FEB '16,Fenox Venture Capital,Sinovation Ventures,N/A
ELEMENTAL MACHINES,Not Acquired,$2.5M Seed,FEB '16,Founders Fund,Rock Health,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRONOFY,Not Acquired,$1.6M Round,JAN '16,Firestartr,HENQ Invest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VISUALLY,Not Acquired,$2M Round,MAR '13,Uncork Capital (formerly SoftTech VC),500 Startups,N/A,$8.1M Series A,JAN '14,Crosslink Capital,Correlation Ventures,N/A,$3.3M Round,MAR '15,Uncork Capital (formerly SoftTech VC),Correlation Ventures,N/A
VESTORLY,Not Acquired,$4.1M Series A,JAN '16,Sigma Prime Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WEVORCE,Not Acquired,$1.7M Seed,JUL '14,N/A,N/A,N/A,$3M Series A,JAN '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPIRE HEALTH,Not Acquired,$1.5M Round,JUN '14,Rock Health,Stanford-StartX Fund,N/A,$7M Round,JAN '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCALEARC,Not Acquired,$20M Series C,JAN '16,Accel,Bain Capital Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTIMOTE,Not Acquired,$3.1M Round,DEC '13,Bessemer Venture Partners,Innovation Endeavors,N/A,$10.7M Series A,JAN '16,Javelin Venture Partners,Homebrew,N/A,N/A,N/A,N/A,N/A,N/A
GOOD&CO,JAN '16,$1.3M Seed,NOV '13,Playfair Capital,Talent Equity Ventures (TEqV),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOLTIN,Not Acquired,$2M Seed,JAN '16,Y Combinator,Frontline Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MD INSIDER,Not Acquired,$1.5M Seed,NOV '14,Tim Ferriss,Jay Calvert,N/A,$9.5M Series A,APR '15,Jason Ader,Tim Ferriss,N/A,$12M Series B,DEC '15,Summation Health V,Jason Ader,N/A
HOLOGRAM,Not Acquired,$1.1M Round,NOV '14,NextView Ventures,Mucker Capital,N/A,$3.3M Seed,DEC '15,Drive Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LILY,Not Acquired,$15M Series A,DEC '15,Spark Capital,SV Angel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RESPONDLY,Not Acquired,$1.8M Seed,AUG '14,Galvanize Ventures,Webb Investment Network,N/A,READ PRESS,DEC '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SKETCHDECK,Not Acquired,$500K Seed,FEB '15,Y Combinator,Switch VC,N/A,$1.7M Seed,DEC '15,Matrix Partners,Norwest Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A
ORANGE CHEF,Not Acquired,$3M Seed,FEB '14,GV,SparkLabs Global Ventures,N/A,READ PRESS,DEC '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GROUNDFLOOR,Not Acquired,$5M Series A,DEC '15,Fintech Ventures Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIRCA,Not Acquired,$1.1M Round,AUG '13,Fenox Venture Capital,Undercurrent,N/A,$1.2M Seed,FEB '14,Quotidian Ventures,Indicator Ventures,N/A,$800K Acquisition,DEC '15,N/A,N/A,N/A
UMAKE,Not Acquired,$700K Seed,SEP '15,N/A,N/A,N/A,$4.5M Series A,DEC '15,BlueRun Ventures,UpWest Labs,N/A,N/A,N/A,N/A,N/A,N/A
ONTHEGO PLATFORMS,Not Acquired,$700K Seed,JAN '14,FG Angels,Social Leverage,N/A,READ PRESS,DEC '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REVOLAR,Not Acquired,$3M Seed,DEC '15,Foundry Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDIFY,Not Acquired,$550K Seed,DEC '15,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CARD.COM,Not Acquired,$9M Series B,NOV '15,Fenway Summer,Columbia Pacific Advisors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLEANIFY,Not Acquired,$1.8M Seed,NOV '15,500 Startups,Kapor Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MERCHANT ATLAS,NOV '15,$3M Series A,MAR '14,Walden Venture Capital,Scott and Cyan Banister,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WEAVE,Not Acquired,$15.5M Series B,NOV '15,Y Combinator,Crosslink Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLIENTSUCCESS,Not Acquired,$1M Seed,DEC '14,Techstars,Plus550,N/A,$2.3M Seed,OCT '15,Techstars,Seven Peaks Ventures,N/A,N/A,N/A,N/A,N/A,N/A
LOCALIZE,Not Acquired,$1.2M Seed,OCT '15,FG Angels,Kima Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARTLIFTING,Not Acquired,$1.1M Round,OCT '15,Tumml,Joanne Wilson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KINNEK,Not Acquired,$10M Series A,SEP '14,Matrix Partners,CrunchFund,N/A,$20M Series B,OCT '15,Matrix Partners,Thrive Capital,N/A,N/A,N/A,N/A,N/A,N/A
FABFITFUN,Not Acquired,$3.5M Seed,OCT '15,New Enterprise Associates,Upfront Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZYCADA NETWORKS,Not Acquired,$166K Seed,OCT '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEADIQ,Not Acquired,$268K Seed,OCT '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAPPN APP,Not Acquired,$14M Series B,OCT '15,IDInvest Partners,DN Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMBRONITE,Not Acquired,$600K Seed,SEP '15,Lifeline Ventures,Moaffak Ahmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIN,Not Acquired,$3M Round,SEP '15,Accel,Collaborative Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PINGPAD,Not Acquired,$1M Round,SEP '15,Greylock Partners,Floodgate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UNIQUESOUND (TECHSTARS NYC 15),Not Acquired,$1M Seed,SEP '15,FG Angels,Felix Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VANGO,Not Acquired,$2.2M Seed,SEP '15,Social Starts,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHOTS STUDIOS,Not Acquired,$8.5M Series A,MAY '15,WI Harper Group,Upfront Ventures,N/A,$4M Round,SEP '15,DCM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEARTTHIS,Not Acquired,$2M Seed,NOV '13,Tekton Ventures,500 Startups,N/A,READ PRESS,SEP '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INSTAMOTOR,Not Acquired,$500K Seed,JUN '14,Maveron,CrunchFund,N/A,$1M Seed,MAY '15,Maveron,Palm Drive Capital,N/A,$4M Seed,SEP '15,Maveron,Palm Drive Capital,N/A
VOIQ,Not Acquired,$2M Seed,SEP '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OWNLOCAL,Not Acquired,$1.5M Seed,AUG '15,500 Startups,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KLAVIYO,Not Acquired,$1.5M Round,AUG '15,Accomplice,David Cancel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAUSEMO,Not Acquired,$4M Series A,AUG '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PANA,Not Acquired,$1.4M Seed,AUG '15,Techstars,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIRTUAL,AUG '15,$5M Round,AUG '15,Mayfield Fund,VTF Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KINDARA,Not Acquired,$5.3M Round,AUG '15,Boston Seed Capital,MVI (Mena Venture Investments),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAM,Not Acquired,$1.7M Round,AUG '15,Flybridge Capital Partners,Boston Seed Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VISITDAYS,Not Acquired,$575K Seed,AUG '15,AngelList Enterprise Fund I,Maiden Lane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UPCOUNSEL,Not Acquired,$2.4M Seed,DEC '14,Compound,Crosslink Capital,N/A,$10M Series A,JUL '15,Menlo Ventures,Homebrew,N/A,N/A,N/A,N/A,N/A,N/A
ECOVENT SYSTEMS,Not Acquired,$2.2M Seed,OCT '14,Accomplice,Otter Consulting,N/A,$6.9M Series A,JUL '15,Tamarisc Ventures,Emerson Climate Technologies,N/A,N/A,N/A,N/A,N/A,N/A
UXPIN,Not Acquired,$1.6M Round,FEB '14,Andreessen Horowitz,Freestyle Capital,N/A,$5M Series A,JUL '15,True Ventures,N/A,N/A,$5M Series A,JUL '15,True Ventures,Flight.VC Syndicate,N/A
POPULAR PAYS,Not Acquired,$2M Seed,JUL '15,Bessemer Venture Partners,Social Starts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BEACON,Not Acquired,$1M Series A,JUN '15,Romulus Capital,Western Technology Investment,N/A,$7.5M Round,JUL '15,Romulus Capital,MI Ventures,N/A,N/A,N/A,N/A,N/A,N/A
VERBLING,Not Acquired,$2.7M Seed,JUL '15,Bullpen Capital,Hydrazine Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMMEDIATELY,Not Acquired,$2M Seed,MAY '15,Queensbridge Venture Partners,Galvanize Ventures,N/A,N/A,JUL '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIKEABLE LOCAL,Not Acquired,$550K Seed,DEC '14,500 Startups,Likeable Media,N/A,$500K Round,JUL '15,Lighter Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TABLELIST,Not Acquired,$2M Seed,JUL '14,Accomplice,Wayne Chang,N/A,$2.5M Series A,JUL '15,Accomplice,Wayne Chang,N/A,N/A,N/A,N/A,N/A,N/A
ALLCLASSES,Not Acquired,$1.5M Seed,APR '14,Floodgate,Great Oaks Venture Capital,N/A,N/A,JUL '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONE MONTH,Not Acquired,$1.9M Seed,JUN '15,Arena Ventures,Sinovation Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ENEVO,Not Acquired,$8M Series A,AUG '14,Lifeline Ventures,Draper Associates,N/A,$15.8M Series B,JUN '15,Lifeline Ventures,Draper Associates,N/A,N/A,N/A,N/A,N/A,N/A
TOPFAN,Not Acquired,$2M Seed,JUN '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTO,Not Acquired,$1.5M Round,JUN '15,Slow Ventures,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESCOMPLICA,Not Acquired,$5M Series B,FEB '14,Social Capital,Valar Ventures,N/A,$7M Series C,JUN '15,Valar Ventures,Social Capital,N/A,N/A,N/A,N/A,N/A,N/A
LOOKLIST,Not Acquired,$174K Round,JUN '15,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUSEUM (TECHSTARS '15),Not Acquired,$1.3M Seed,FEB '15,FG Angels,Drummond Road Capital,N/A,$118K Seed,JUN '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONE DROP,Not Acquired,$8M Series A,JUN '15,RRE Ventures,LAUNCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIRROSECURE,Not Acquired,$1.7M Seed,MAY '14,Innovation Endeavors,XSeed Capital,N/A,READ PRESS,MAY '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATTERFAB,Not Acquired,$5.8M Series A,MAY '15,Lemnos Labs,Kima Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRDOG,Not Acquired,$2.5M Seed,MAY '15,Seraph Group,Base Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIT GURUS LTD (GYM PLAN),Not Acquired,$200K Round,MAY '15,Potential UK,Northstar Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BETTERCOMPANY,Not Acquired,$6M Series A,MAY '15,BlueRun Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEALFLICKS,Not Acquired,$2.9M Seed,MAY '15,500 Startups,Be Great Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLOUDTAGS,Not Acquired,$1.2M Round,SEP '14,N/A,N/A,N/A,$2M Series A,MAY '15,IDEA Fund Partners,Knoll Ventures,N/A,N/A,N/A,N/A,N/A,N/A
VIDEOPIXIE,Not Acquired,$1.1M Round,MAY '15,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOUCH FINANCIAL,Not Acquired,$200K Round,JUL '14,Flight.VC Syndicate,N/A,N/A,$1.1M Round,AUG '14,Flight.VC Syndicate,N/A,N/A,$1.8M Seed,JAN '15,Greylock Partners,First Round Capital,N/A
TRUSTED INSIGHT,Not Acquired,$5M Series A,MAY '15,BootstrapLabs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SMARKING,Not Acquired,$3M Seed,MAY '15,Khosla Ventures,Slow Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INDINERO,Not Acquired,$7M Series B,FEB '15,Camp One Ventures,Coyote Ridge Ventures,N/A,Round,MAY '15,SaaS Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUCKLE,Not Acquired,$850K Seed,MAY '15,Social Capital,LAUNCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLATEJOY,Not Acquired,$1.7M Seed,APR '15,Sherpa Capital,Foundation Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHINESTY,Not Acquired,$230K Round,APR '15,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JUKELY,Not Acquired,$2.4M Seed,OCT '14,Northzone,TechStars Ventures 2014,N/A,$8M Seed,APR '15,Northzone,Alejandro Zubillaga,N/A,N/A,N/A,N/A,N/A,N/A
SIGNPOST,Not Acquired,$20.5M Series C,APR '15,Spark Capital,OpenView Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FITMOB,Not Acquired,$5M Round,JAN '15,Mayfield Fund,Hinge Capital,N/A,READ PRESS,APR '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNOWSHOE STAMP,Not Acquired,$2.3M Seed,OCT '14,N/A,N/A,N/A,$1M Round,APR '15,Lowercase Capital,Collaborative Fund,N/A,N/A,N/A,N/A,N/A,N/A
SHYP,Not Acquired,$2.1M Seed,SEP '13,Sherpa Capital,Fresh,N/A,$10M Series A,JUL '14,Sherpa Capital,Homebrew,N/A,$50M Series B,APR '15,Kleiner Perkins,Homebrew,N/A
PODO LABS,Not Acquired,$1.1M Seed,APR '15,Seedcamp,Bon Angels,N/A,$427K Seed,APR '15,Kickstarter,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAYSTAGG,Not Acquired,$600K Seed,APR '15,Forefront Venture Partners,Kima Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BEDROCK DATA,Not Acquired,$3.1M Seed,APR '15,Brian Shin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STREAMLABS,Not Acquired,$16M Series A,APR '15,Sequoia Capital,Matrix Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTIMIZE,Not Acquired,$1.2M Series A,MAR '14,ValueStream Ventures,Contour Venture Partners,N/A,$6M Series B,APR '15,Contour Venture Partners,Steven Lau,N/A,N/A,N/A,N/A,N/A,N/A
EDUCENTS,Not Acquired,$2.9M Seed,APR '15,Uncork Capital (formerly SoftTech VC),Crosslink Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FACTION COLLECTIVE,Not Acquired,$4.5M Series A,APR '15,Octopus Ventures,Go Beyond Investing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTRL+CONSOLE,Not Acquired,$261K Round,MAR '15,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETARGETER,Not Acquired,$1.5M Seed,SEP '13,Kevin Henrikson,Fabrice Grinda,N/A,READ PRESS,MAR '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEEP FOREST MEDIA,Not Acquired,$185K Seed,MAY '14,N/A,N/A,N/A,N/A,MAR '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIIRT,Not Acquired,$900K Seed,MAR '15,Dundee Venture Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HER,Not Acquired,$2.2M Seed,MAR '15,Alexis Ohanian,Garry Tan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEAP TRANSIT,Not Acquired,$2.5M Round,MAR '15,Andreessen Horowitz,Index Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COOLCHIP TECHNOLOGIES,Not Acquired,$3.3M Series A,MAR '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASSETA,Not Acquired,$535K Seed,FEB '14,Beenos Partners,Matt Huang,N/A,$1M Seed,MAR '15,Red Swan,FundersClub,N/A,N/A,N/A,N/A,N/A,N/A
CLASSKICK,Not Acquired,$1.6M Seed,MAR '15,Kapor Capital,Lightbank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLEARBIT,Not Acquired,$2M Round,MAR '15,First Round Capital,SV Angel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RESCOUR,Not Acquired,$1.3M Seed,MAR '15,TechSquare,Jason Calacanis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOOKITY,Not Acquired,$1.9M Round,FEB '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GETABLE,Not Acquired,$1.8M Seed,FEB '13,Andreessen Horowitz,Promus Ventures,N/A,$5M Series A,FEB '15,Brick & Mortar Ventures,Social Capital,N/A,N/A,N/A,N/A,N/A,N/A
AUTHY,Not Acquired,$2.3M Seed,SEP '14,CrunchFund,Winklevoss Capital,N/A,READ PRESS,FEB '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRABBLE,Not Acquired,$1.8M Round,FEB '15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLEY,Not Acquired,$10M Series B,FEB '15,Floodgate,Maven Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VALET ANYWHERE,Not Acquired,$1.4M Round,FEB '15,CyberAgent Capital,AngelPad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIXED,Not Acquired,$1.2M Seed,JUL '14,Y Combinator,Merus Capital,N/A,$650K Seed,FEB '15,Slow Ventures,Structure Capital,N/A,N/A,N/A,N/A,N/A,N/A
ANDY OS,Not Acquired,$3M Round,FEB '15,500 Startups,Andy Rankin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CODEHS,Not Acquired,$1.8M Seed,JAN '15,Learn Capital,Kapor Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEER5,Not Acquired,$550K Round,JAN '15,Hillsven,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELSEN,Not Acquired,$500K Seed,JAN '15,BOSS Syndicate,Jere Doyle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOCIAL REWARDS,Not Acquired,$1M Seed,DEC '14,MI Ventures,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPCUES,Not Acquired,$1.2M Round,DEC '14,Accomplice,Ty Danco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROOMSTORM,Not Acquired,$1.1M Seed,DEC '14,Zillionize,Palm Drive Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPLITWISE,Not Acquired,$1.4M Round,DEC '14,Great Oaks Venture Capital,rocketship.vc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MERCHBAR,Not Acquired,$1M Round,DEC '14,500 Startups,Structure Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHANGE.ORG,Not Acquired,$15M Series B,MAY '13,Emagen Investment Group,Summit Action Fund,N/A,$25M Round,DEC '14,Evan Williams,Jerry Yang,N/A,N/A,N/A,N/A,N/A,N/A
APPCITO,Not Acquired,$7.5M Round,DEC '14,Accomplice,March Capital Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CONNECT.COM,Not Acquired,$2.8M Seed,JUN '14,Jason Calacanis,Brad Feld,N/A,$10.3M Series A,DEC '14,Fosun International,Marc Benioff,N/A,N/A,N/A,N/A,N/A,N/A
BEEP NETWORKS,Not Acquired,$4M Seed,DEC '14,Y Combinator,Western Technology Investment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YOI,Not Acquired,$1.5M Seed,DEC '14,VTF Capital,Learn Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
THE WELCOMING COMMITTEE,Not Acquired,$450K Round,NOV '14,BOSS Syndicate,Josh Schanker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEMOIR,Not Acquired,$5.5M Series A,NOV '14,Redpoint Ventures,Thrive Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAMBRIAN GENOMICS,Not Acquired,$10M Series A,NOV '14,Draper Associates,Adam Pisoni,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOOST MEDIA,Not Acquired,$19M Series C,NOV '14,Battery Ventures,Javelin Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PATIENTS KNOW BEST,Not Acquired,$1.7M Round,NOV '14,Maxfield Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RAMEN,Not Acquired,$300K Seed,NOV '14,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BREEZE,Not Acquired,$1.4M Seed,NOV '14,Fabrice Grinda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCRIPTED,Not Acquired,$9M Series B,NOV '14,Redpoint Ventures,Storm Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WANDERU,Not Acquired,$5.6M Series A,NOV '14,500 Startups,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
