Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
LENDINGHOME,Not Acquired,$57M Series C,OCT '17,Sberbank,Noah Holdings Limited NYSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SELFMADE,Not Acquired,$8M Series A,OCT '17,FirstMark Capital,BoxGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLOUDZERO,Not Acquired,$5M Series A,OCT '17,Matrix Partners,Underscore VC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VERVE,Not Acquired,$10M Round,OCT '16,Frontline Ventures,Universal Music Group,N/A,$18.5M Series B,OCT '17,Frontline Ventures,Draper Esprit,N/A,N/A,N/A,N/A,N/A,N/A
ROOFSTOCK,Not Acquired,$13.3M Series A,MAR '16,Khosla Ventures,SV Angel,N/A,$20M Series B,NOV '16,Khosla Ventures,Lightspeed Venture Partners,N/A,$35M Series C,OCT '17,Khosla Ventures,Lightspeed Venture Partners,N/A
ALTSPACEVR,OCT '17,$5.2M Seed,SEP '14,GV,Foundation Capital,N/A,$10.3M Series A,JUL '15,Tencent,Raine Ventures,N/A,READ PRESS,N/A,N/A,N/A,N/A
MPARTICLE,Not Acquired,$35M Series C,SEP '17,Harmony Partners,Bain Capital Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8FIT,Not Acquired,$2.3M Seed,AUG '15,Vitamina K Venture Capital,Mark Evans,N/A,$7M Series A,SEP '17,Creandum,EIGHT ROADS VENTURES,N/A,N/A,N/A,N/A,N/A,N/A
LUXE,SEP '17,$5.5M Seed,OCT '14,Redpoint Ventures,GV,N/A,$20M Series A,FEB '15,Redpoint Ventures,Slow Ventures,N/A,$50M Series B,APR '16,Redpoint Ventures,Venrock,N/A
ORION,Not Acquired,$6.3M Series A,AUG '14,Avalon Ventures,Fuel Capital,N/A,$9M Series A,FEB '16,Avalon Ventures,Motorola Solutions Venture Capital,N/A,$18.3M Series B,SEP '17,Allen & Company,Fuel Capital,N/A
BETTERVIEW,Not Acquired,$1.6M Seed,FEB '16,Arena Ventures,Compound,N/A,$2.1M Seed,SEP '17,645 Ventures,Winklevoss Capital,N/A,N/A,N/A,N/A,N/A,N/A
GEM,Not Acquired,$7.6M Series A,JAN '16,Pelion Venture Partners,KEC Ventures,N/A,$8M Series A,SEP '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SUPPLYHOG,AUG '17,$2.5M Round,JUN '13,Quotidian Ventures,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BITPESA,Not Acquired,$1.1M Seed,FEB '15,Pantera Capital,Future\Perfect Ventures,N/A,Seed,FEB '16,N/A,N/A,N/A,$2.5M Series A,FEB '17,Draper Associates,Greycroft Partners,N/A
AUTOFI,Not Acquired,$58K Round,NOV '15,N/A,N/A,N/A,$17M Round,MAY '16,Crosslink Capital,Lerer Hippeau Ventures,N/A,$10M Series A,AUG '17,Crosslink Capital,Lerer Hippeau Ventures,N/A
BLEND,Not Acquired,$100M Series D,AUG '17,Greylock Partners,Emergence Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOATBOUND,AUG '17,$1M Seed,JUN '13,Accomplice,Kima Ventures,N/A,$2.5M Seed,APR '14,OurCrowd,Brunswick,N/A,N/A,N/A,N/A,N/A,N/A
ONESIGNAL,Not Acquired,$2.3M Seed,APR '15,Rakuten Ventures,Justin Kan,N/A,$7M Series A,AUG '17,SignalFire,Rakuten Ventures,N/A,N/A,N/A,N/A,N/A,N/A
HOMELIGHT,Not Acquired,$40M Series B,AUG '17,Menlo Ventures,Citi Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STREAM,Not Acquired,$1.8M Seed,AUG '15,Techstars,Social Starts,N/A,$3M Series A,AUG '17,Techstars,Galvanize Ventures,N/A,N/A,N/A,N/A,N/A,N/A
SPIDR TECH,Not Acquired,$1M Round,MAY '16,Winklevoss Capital,Noname Ventures,N/A,$2.5M Round,AUG '17,Birchmere Ventures,Noname Ventures,N/A,N/A,N/A,N/A,N/A,N/A
SAWYER,Not Acquired,$1.5M Seed,APR '16,Collaborative Fund,Notation,N/A,$6M Series A,AUG '17,Chan Zuckerberg Initiative (Czi),3311 Productions,N/A,N/A,N/A,N/A,N/A,N/A
REBAG,Not Acquired,$4M Seed,AUG '15,General Catalyst,Compound,N/A,$8M Series A,MAY '16,General Catalyst,Compound,N/A,$15.5M Series B,JUL '17,General Catalyst,Crosslink Capital,N/A
SKYSAFE,Not Acquired,$3M Seed,APR '16,Andreessen Horowitz,Founder Collective,N/A,$11.5M Series A,JUL '17,Andreessen Horowitz,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOLEKULE,Not Acquired,$3.3M Seed,MAY '16,Uncork Capital (formerly SoftTech VC),Crosslink Capital,N/A,$10.1M Series A,JUL '17,Crosslink Capital,Uncork Capital (formerly SoftTech VC),N/A,N/A,N/A,N/A,N/A,N/A
BRIGHT.MD,Not Acquired,$3.5M Round,JUL '15,Stanford-StartX Fund,Seven Peaks Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POQ,Not Acquired,$4M Series A,JUL '16,Seedcamp,Venrex Investment Management,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIDCODE,Not Acquired,$1.5M Seed,JUL '17,Rethink Education,CoVenture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PANDA,Not Acquired,$850K Round,JUL '17,Social Capital,Social Starts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VECTOR SPACE,Not Acquired,$1M Seed,MAY '16,Shaun Coleman,Matt Conover,N/A,$21M Series A,JUN '17,Sequoia Capital,Shasta Ventures,N/A,N/A,N/A,N/A,N/A,N/A
SWIFT SHIFT,Not Acquired,$2.7M Seed,JUL '16,Bowery Capital,Crosslink Capital,N/A,$2M Seed,JUN '17,Crosslink Capital,Freestyle Capital,N/A,N/A,N/A,N/A,N/A,N/A
JASK,Not Acquired,$2M Seed,FEB '16,Battery Ventures,N/A,N/A,$12M Series A,JUN '17,Battery Ventures,TenEleven Ventures,N/A,N/A,N/A,N/A,N/A,N/A
RINSE,Not Acquired,$3.5M Seed,JUN '15,Arena Ventures,ff Venture Capital,N/A,$6M Series A,APR '16,Javelin Venture Partners,Arena Ventures,N/A,$14M Series B,JUN '17,Arena Ventures,Accelerator Ventures,N/A
SENSE,Not Acquired,$1.1M Seed,MAR '15,Granite Ventures,Illuminate Ventures,N/A,READ PRESS,MAR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REALTYSHARES,Not Acquired,$1.9M Round,APR '14,General Catalyst,Gregory Framke,N/A,$10M Series A,APR '15,Menlo Ventures,General Catalyst,N/A,$20M Round,FEB '16,Union Square Ventures,Menlo Ventures,N/A
SERVICE,Not Acquired,$540K Seed,JUN '15,Arena Ventures,N/A,N/A,$3.1M Seed,OCT '15,Founders Fund,Menlo Ventures,N/A,N/A,N/A,N/A,N/A,N/A
TALLA,Not Acquired,$4M Seed,FEB '16,Avalon Ventures,Brooklyn Bridge Ventures,N/A,$8.3M Series A,JUN '17,Avalon Ventures,PJC,N/A,N/A,N/A,N/A,N/A,N/A
